Data,Descrição,Tipo,Valor
01/06/2024,Salário,entrada,5000.00
02/06/2024,Freelance - Projeto Web,entrada,1500.00
03/06/2024,Supermercado Carrefour,saida,350.50
04/06/2024,Conta Telefone,saida,89.90
05/06/2024,Almoço Restaurante,saida,65.00
05/06/2024,Bônus empresa,entrada,2000.00
06/06/2024,Aluguel Apartamento,saida,1200.00
07/06/2024,Energia Elétrica,saida,150.00
08/06/2024,Supermercado Prezão,saida,280.00
09/06/2024,Consultoria,entrada,800.00
10/06/2024,Uber/Corrida,saida,45.00
11/06/2024,Cinema,saida,60.00
12/06/2024,Compras Online,saida,199.90
13/06/2024,Água/Saneamento,saida,120.00
14/06/2024,Freelance - Design,entrada,1200.00
15/06/2024,Academia Mensal,saida,99.90
16/06/2024,Pizza Domicílio,saida,85.00
17/06/2024,Presente Amiga,saida,150.00
18/06/2024,Freelance - Tradução,entrada,600.00
19/06/2024,Gás,saida,70.00
20/06/2024,Internet Fibra,saida,99.90
21/06/2024,Café da Manhã,saida,35.00
22/06/2024,Consultoria Financeira,entrada,1000.00
23/06/2024,Livro Amazon,saida,45.00
24/06/2024,Viagem Uber,saida,120.00
25/06/2024,Brechó - Roupa,saida,89.00
26/06/2024,Freelance - Marketing,entrada,950.00
27/06/2024,Conta Médica,saida,200.00
28/06/2024,Supermercado Extra,saida,320.00
29/06/2024,Dividendo Ações,entrada,450.00
30/06/2024,Comida Chinesa,saida,50.00
